lag,cutoff,overlap,chi4
1,0.2,0.8868670886075949,0.06614524915878865
2,0.2,0.4619391025641026,0.5971914036817882
5,0.2,0.06,0.07418333333333332
10,0.2,0.006696428571428571,0.007397959183673467
20,0.2,0.00078125,0.0007421874999999997
1,0.3,0.9594541139240507,0.02196162473962506
2,0.3,0.7728365384615384,0.21021326429980278
5,0.3,0.16583333333333333,0.16662222222222223
10,0.3,0.027901785714285716,0.028970025510204087
20,0.3,0.003125,0.0024999999999999996
1,0.5,0.9994066455696202,0.0005708219836564651
2,0.5,0.9381009615384616,0.02862271942800789
5,0.5,0.49916666666666665,0.5920388888888888
10,0.5,0.11205357142857143,0.09061224489795916
20,0.5,0.0171875,0.018593750000000003
