lag,value
0,0.0
1,0.020692240977037406
2,0.07930262678903406
3,0.17282485292263777
4,0.29837324287547184
5,0.45328353024692614
6,0.6351781405952327
7,0.8419387125228338
8,1.0713387001549917
9,1.3217565309187354
10,1.5911030661698897
11,1.8779766653333099
12,2.1806764189273347
13,2.4980258864366935
14,2.8288095109689344
15,3.1722324311198773
16,3.527819428556467
17,3.894790947966592
18,4.272035896096154
19,4.658478499454297
20,5.05289177318914
21,5.4547856350247645
22,5.863773841109426
23,6.278008537522765
24,6.6967717458322795
25,7.119821544413272
26,7.546966945897787
27,7.977597718284017
28,8.411089003621884
29,8.848209799743882
30,9.287785106066579
