lag,alpha2
0,0.0
1,0.8570356720054209
2,0.8488207356908459
3,0.8398683732975025
4,0.8326324182612574
5,0.8255867041610867
6,0.8190084480498665
7,0.8112424345701761
8,0.8015661901230264
9,0.7897295117741534
10,0.7755368049108224
11,0.7602226641786232
12,0.7444942230277773
13,0.7284794765807079
14,0.7122607969319885
15,0.6975241993364021
16,0.6845508266083886
17,0.6735344339516369
18,0.6643021102406146
19,0.6564580436241734
20,0.6498553381181305
21,0.6450458573805806
22,0.6418448992220627
23,0.6397844045847694
24,0.6381788614744381
25,0.6366831646102726
26,0.6350269745559562
27,0.6327427532714363
28,0.6298916692146668
29,0.6265465513058046
30,0.6226602846581466
