lag,value
0,1.0
1,0.9751034099947683
2,0.9488433756107133
3,0.9233504818472944
4,0.8983607276324076
5,0.8731226101989423
6,0.8455770353767582
7,0.8165240819325648
8,0.7850377266412769
9,0.752716809373754
10,0.7193830738770313
11,0.6828167680834062
12,0.6454124162771208
13,0.6056110575534807
14,0.5616494322842778
15,0.5160481357220832
16,0.4685676062524239
17,0.41985532751278054
18,0.3705891506997391
19,0.32087685709885144
20,0.2729937523093942
21,0.2272865649399806
22,0.18241422565839926
23,0.13737804569995582
24,0.09276554066501133
25,0.04841354553799682
26,7.862762479642489e-05
27,-0.05013542397736311
28,-0.09957995294165348
29,-0.14825755899616105
30,-0.19518282160707476
